"No.","Time","Source","Destination","Protocol","Length","Info"
"262","517.997859","::1","::1","TCP","74","11913  >  445 [ACK] Seq=5338 Ack=6023 Win=529920 Len=0"
"263","517.997904","::1","::1","SMB2","182","GetInfo Request FILE_INFO/SMB2_FILE_STANDARD_INFO File: Users"
"264","517.997927","::1","::1","TCP","74","445  >  11913 [ACK] Seq=6023 Ack=5446 Win=528896 Len=0"
"265","517.997946","::1","::1","SMB2","174","GetInfo Response"
"266","517.997968","::1","::1","TCP","74","11913  >  445 [ACK] Seq=5446 Ack=6123 Win=529664 Len=0"
"267","517.998037","::1","::1","SMB2","166","Close Request File: Users"
"268","517.998067","::1","::1","TCP","74","445  >  11913 [ACK] Seq=6123 Ack=5538 Win=528640 Len=0"
"269","517.998103","::1","::1","SMB2","202","Close Response"
"270","517.998124","::1","::1","TCP","74","11913  >  445 [ACK] Seq=5538 Ack=6251 Win=529664 Len=0"
"271","517.998236","::1","::1","SMB2","262","Create Request File: Users"
"272","517.998267","::1","::1","TCP","74","445  >  11913 [ACK] Seq=6251 Ack=5726 Win=528640 Len=0"
"273","517.998351","::1","::1","SMB2","318","Create Response File: Users"
"274","517.998376","::1","::1","TCP","74","11913  >  445 [ACK] Seq=5726 Ack=6495 Win=529408 Len=0"
